Epoch: [1][480/938], lr: 0.00500	Time 3.191 (1.463)	Data 2.550 (0.833)	Loss 1.9711 (2.0020)	Prec@1 46.667 (43.444)	Prec@5 76.667 (79.924)
Epoch: [1][500/938], lr: 0.00500	Time 3.660 (1.459)	Data 3.019 (0.829)	Loss 1.7409 (1.9915)	Prec@1 43.333 (43.693)	Prec@5 86.667 (80.160)
Epoch: [1][520/938], lr: 0.00500	Time 1.967 (1.459)	Data 1.333 (0.829)	Loss 1.7638 (1.9805)	Prec@1 40.000 (43.935)	Prec@5 86.667 (80.275)
Epoch: [1][540/938], lr: 0.00500	Time 2.394 (1.461)	Data 1.752 (0.830)	Loss 1.8863 (1.9724)	Prec@1 43.333 (44.202)	Prec@5 80.000 (80.376)
Epoch: [1][560/938], lr: 0.00500	Time 1.141 (1.459)	Data 0.500 (0.829)	Loss 1.9511 (1.9670)	Prec@1 43.333 (44.349)	Prec@5 83.333 (80.422)
Epoch: [1][580/938], lr: 0.00500	Time 2.477 (1.460)	Data 1.840 (0.829)	Loss 1.6107 (1.9598)	Prec@1 60.000 (44.475)	Prec@5 86.667 (80.545)
Epoch: [1][600/938], lr: 0.00500	Time 1.503 (1.459)	Data 0.867 (0.828)	Loss 1.5657 (1.9511)	Prec@1 46.667 (44.709)	Prec@5 90.000 (80.727)
Epoch: [1][620/938], lr: 0.00500	Time 1.108 (1.455)	Data 0.470 (0.824)	Loss 1.3150 (1.9442)	Prec@1 70.000 (44.906)	Prec@5 96.667 (80.875)
Epoch: [1][640/938], lr: 0.00500	Time 0.660 (1.454)	Data 0.031 (0.823)	Loss 1.7800 (1.9336)	Prec@1 50.000 (45.148)	Prec@5 80.000 (81.087)
Epoch: [1][660/938], lr: 0.00500	Time 0.622 (1.456)	Data 0.000 (0.824)	Loss 1.9556 (1.9259)	Prec@1 53.333 (45.315)	Prec@5 73.333 (81.286)
