Epoch: [1][320/1201], lr: 0.00500	Time 6.501 (2.185)	Data 5.838 (1.519)	Loss 0.2148 (0.1531)	Prec@1 93.333 (95.379)	Prec@5 100.000 (99.512)
Epoch: [1][340/1201], lr: 0.00500	Time 8.088 (2.195)	Data 7.415 (1.528)	Loss 0.1885 (0.1522)	Prec@1 96.667 (95.474)	Prec@5 96.667 (99.511)
Epoch: [1][360/1201], lr: 0.00500	Time 7.811 (2.218)	Data 7.148 (1.552)	Loss 0.0248 (0.1501)	Prec@1 100.000 (95.512)	Prec@5 100.000 (99.520)
Epoch: [1][380/1201], lr: 0.00500	Time 7.148 (2.223)	Data 6.482 (1.557)	Loss 0.0398 (0.1506)	Prec@1 100.000 (95.503)	Prec@5 100.000 (99.510)
Epoch: [1][400/1201], lr: 0.00500	Time 8.707 (2.235)	Data 8.039 (1.569)	Loss 0.0451 (0.1483)	Prec@1 100.000 (95.578)	Prec@5 100.000 (99.526)
Epoch: [1][420/1201], lr: 0.00500	Time 6.889 (2.246)	Data 6.212 (1.580)	Loss 0.2460 (0.1479)	Prec@1 93.333 (95.582)	Prec@5 96.667 (99.517)
Epoch: [1][440/1201], lr: 0.00500	Time 8.619 (2.256)	Data 7.955 (1.590)	Loss 0.1404 (0.1477)	Prec@1 96.667 (95.586)	Prec@5 100.000 (99.516)
Epoch: [1][460/1201], lr: 0.00500	Time 7.690 (2.266)	Data 7.020 (1.600)	Loss 0.0859 (0.1466)	Prec@1 96.667 (95.647)	Prec@5 100.000 (99.523)
Epoch: [1][480/1201], lr: 0.00500	Time 6.641 (2.275)	Data 5.978 (1.610)	Loss 0.0126 (0.1451)	Prec@1 100.000 (95.696)	Prec@5 100.000 (99.536)
Epoch: [1][500/1201], lr: 0.00500	Time 6.985 (2.279)	Data 6.312 (1.614)	Loss 0.2963 (0.1452)	Prec@1 96.667 (95.722)	Prec@5 100.000 (99.541)
Epoch: [1][520/1201], lr: 0.00500	Time 7.726 (2.281)	Data 7.062 (1.615)	Loss 0.3748 (0.1440)	Prec@1 83.333 (95.771)	Prec@5 100.000 (99.552)
Epoch: [1][540/1201], lr: 0.00500	Time 6.878 (2.279)	Data 6.203 (1.613)	Loss 0.1262 (0.1439)	Prec@1 96.667 (95.749)	Prec@5 100.000 (99.550)
Epoch: [1][560/1201], lr: 0.00500	Time 8.242 (2.287)	Data 7.578 (1.621)	Loss 0.0417 (0.1430)	Prec@1 100.000 (95.787)	Prec@5 100.000 (99.554)
Epoch: [1][580/1201], lr: 0.00500	Time 8.670 (2.291)	Data 8.001 (1.625)	Loss 0.0796 (0.1426)	Prec@1 96.667 (95.777)	Prec@5 100.000 (99.547)
Epoch: [1][600/1201], lr: 0.00500	Time 7.606 (2.292)	Data 6.944 (1.626)	Loss 0.0622 (0.1415)	Prec@1 96.667 (95.818)	Prec@5 100.000 (99.551)
Epoch: [1][620/1201], lr: 0.00500	Time 9.109 (2.299)	Data 8.425 (1.633)	Loss 0.0677 (0.1405)	Prec@1 96.667 (95.835)	Prec@5 100.000 (99.560)
Epoch: [1][640/1201], lr: 0.00500	Time 6.233 (2.297)	Data 5.570 (1.631)	Loss 0.1275 (0.1405)	Prec@1 96.667 (95.824)	Prec@5 100.000 (99.563)
Epoch: [1][660/1201], lr: 0.00500	Time 6.673 (2.294)	Data 6.009 (1.628)	Loss 0.1649 (0.1406)	Prec@1 93.333 (95.835)	Prec@5 100.000 (99.566)
