Epoch: [1][240/1085], lr: 0.00500	Time 0.952 (2.081)	Data 0.284 (1.412)	Loss 0.0610 (0.1673)	Prec@1 96.667 (95.090)	Prec@5 100.000 (99.530)
Epoch: [1][260/1085], lr: 0.00500	Time 0.701 (2.086)	Data 0.038 (1.417)	Loss 0.2181 (0.1664)	Prec@1 93.333 (95.096)	Prec@5 100.000 (99.566)
Epoch: [1][280/1085], lr: 0.00500	Time 1.925 (2.077)	Data 1.252 (1.408)	Loss 0.1990 (0.1666)	Prec@1 96.667 (95.006)	Prec@5 100.000 (99.573)
Epoch: [1][300/1085], lr: 0.00500	Time 2.856 (2.076)	Data 2.193 (1.407)	Loss 0.3455 (0.1651)	Prec@1 90.000 (95.039)	Prec@5 96.667 (99.590)
Epoch: [1][320/1085], lr: 0.00500	Time 4.409 (2.071)	Data 3.739 (1.401)	Loss 0.0729 (0.1634)	Prec@1 100.000 (95.140)	Prec@5 100.000 (99.595)
Epoch: [1][340/1085], lr: 0.00500	Time 1.601 (2.067)	Data 0.933 (1.398)	Loss 0.1487 (0.1627)	Prec@1 93.333 (95.200)	Prec@5 100.000 (99.589)
Epoch: [1][360/1085], lr: 0.00500	Time 0.664 (2.067)	Data 0.000 (1.397)	Loss 0.0399 (0.1628)	Prec@1 100.000 (95.254)	Prec@5 100.000 (99.566)
Epoch: [1][380/1085], lr: 0.00500	Time 0.664 (2.062)	Data 0.000 (1.393)	Loss 0.1567 (0.1639)	Prec@1 90.000 (95.206)	Prec@5 100.000 (99.563)
Epoch: [1][400/1085], lr: 0.00500	Time 0.665 (2.059)	Data 0.000 (1.390)	Loss 0.0362 (0.1619)	Prec@1 100.000 (95.262)	Prec@5 100.000 (99.584)
Epoch: [1][420/1085], lr: 0.00500	Time 0.664 (2.059)	Data 0.000 (1.389)	Loss 0.2295 (0.1639)	Prec@1 93.333 (95.210)	Prec@5 100.000 (99.580)
Epoch: [1][440/1085], lr: 0.00500	Time 1.353 (2.056)	Data 0.689 (1.387)	Loss 0.0435 (0.1659)	Prec@1 100.000 (95.132)	Prec@5 100.000 (99.577)
Epoch: [1][460/1085], lr: 0.00500	Time 0.665 (2.056)	Data 0.000 (1.387)	Loss 0.0895 (0.1643)	Prec@1 100.000 (95.177)	Prec@5 100.000 (99.595)
Epoch: [1][480/1085], lr: 0.00500	Time 1.180 (2.055)	Data 0.516 (1.386)	Loss 0.0802 (0.1630)	Prec@1 100.000 (95.232)	Prec@5 100.000 (99.591)
