Epoch: [1][400/1134], lr: 0.00500	Time 0.762 (1.409)	Data 0.000 (0.636)	Loss 0.9600 (0.9736)	Prec@1 75.000 (71.072)	Prec@5 96.875 (95.083)
Epoch: [1][420/1134], lr: 0.00500	Time 0.763 (1.408)	Data 0.000 (0.634)	Loss 0.8436 (0.9710)	Prec@1 78.125 (71.162)	Prec@5 90.625 (95.056)
Epoch: [1][440/1134], lr: 0.00500	Time 0.762 (1.405)	Data 0.000 (0.632)	Loss 0.8664 (0.9656)	Prec@1 78.125 (71.344)	Prec@5 96.875 (95.054)
Epoch: [1][460/1134], lr: 0.00500	Time 0.763 (1.409)	Data 0.000 (0.636)	Loss 0.4472 (0.9622)	Prec@1 90.625 (71.441)	Prec@5 93.750 (95.099)
Epoch: [1][480/1134], lr: 0.00500	Time 0.763 (1.407)	Data 0.000 (0.634)	Loss 0.6900 (0.9593)	Prec@1 75.000 (71.505)	Prec@5 100.000 (95.101)
Epoch: [1][500/1134], lr: 0.00500	Time 0.763 (1.405)	Data 0.000 (0.631)	Loss 0.8220 (0.9564)	Prec@1 75.000 (71.563)	Prec@5 96.875 (95.166)
Epoch: [1][520/1134], lr: 0.00500	Time 0.763 (1.404)	Data 0.000 (0.630)	Loss 0.9972 (0.9543)	Prec@1 62.500 (71.617)	Prec@5 100.000 (95.184)
Epoch: [1][540/1134], lr: 0.00500	Time 0.826 (1.402)	Data 0.000 (0.628)	Loss 1.1260 (0.9496)	Prec@1 68.750 (71.765)	Prec@5 90.625 (95.252)
Epoch: [1][560/1134], lr: 0.00500	Time 0.837 (1.402)	Data 0.000 (0.628)	Loss 0.6943 (0.9449)	Prec@1 81.250 (71.914)	Prec@5 100.000 (95.271)
Epoch: [1][580/1134], lr: 0.00500	Time 0.820 (1.403)	Data 0.000 (0.629)	Loss 0.9499 (0.9434)	Prec@1 81.250 (71.999)	Prec@5 96.875 (95.310)
Epoch: [1][600/1134], lr: 0.00500	Time 0.830 (1.401)	Data 0.000 (0.627)	Loss 1.1868 (0.9409)	Prec@1 65.625 (72.062)	Prec@5 96.875 (95.362)
Epoch: [1][620/1134], lr: 0.00500	Time 0.763 (1.402)	Data 0.000 (0.627)	Loss 0.9178 (0.9383)	Prec@1 84.375 (72.091)	Prec@5 96.875 (95.355)
Epoch: [1][640/1134], lr: 0.00500	Time 0.761 (1.401)	Data 0.000 (0.627)	Loss 0.7031 (0.9348)	Prec@1 75.000 (72.168)	Prec@5 96.875 (95.408)
Epoch: [1][660/1134], lr: 0.00500	Time 0.763 (1.401)	Data 0.000 (0.627)	Loss 0.6379 (0.9320)	Prec@1 84.375 (72.286)	Prec@5 96.875 (95.424)
Epoch: [1][680/1134], lr: 0.00500	Time 0.763 (1.399)	Data 0.000 (0.625)	Loss 0.5293 (0.9273)	Prec@1 87.500 (72.416)	Prec@5 100.000 (95.471)
Epoch: [1][700/1134], lr: 0.00500	Time 0.763 (1.401)	Data 0.000 (0.627)	Loss 0.6953 (0.9238)	Prec@1 71.875 (72.472)	Prec@5 96.875 (95.498)
Epoch: [1][720/1134], lr: 0.00500	Time 0.763 (1.401)	Data 0.000 (0.627)	Loss 0.7453 (0.9190)	Prec@1 78.125 (72.629)	Prec@5 93.750 (95.531)
Epoch: [1][740/1134], lr: 0.00500	Time 0.763 (1.401)	Data 0.000 (0.627)	Loss 0.4827 (0.9143)	Prec@1 84.375 (72.765)	Prec@5 100.000 (95.563)
Epoch: [1][760/1134], lr: 0.00500	Time 0.762 (1.400)	Data 0.000 (0.626)	Loss 0.5581 (0.9100)	Prec@1 84.375 (72.906)	Prec@5 100.000 (95.606)
Epoch: [1][780/1134], lr: 0.00500	Time 0.824 (1.399)	Data 0.000 (0.625)	Loss 0.4571 (0.9061)	Prec@1 90.625 (72.991)	Prec@5 100.000 (95.611)
Epoch: [1][800/1134], lr: 0.00500	Time 0.781 (1.398)	Data 0.000 (0.624)	Loss 0.8091 (0.9040)	Prec@1 78.125 (73.088)	Prec@5 93.750 (95.595)
Epoch: [1][820/1134], lr: 0.00500	Time 0.761 (1.399)	Data 0.000 (0.624)	Loss 0.6706 (0.8996)	Prec@1 71.875 (73.203)	Prec@5 100.000 (95.646)
Epoch: [1][840/1134], lr: 0.00500	Time 0.759 (1.399)	Data 0.000 (0.625)	Loss 1.0346 (0.8963)	Prec@1 71.875 (73.320)	Prec@5 93.750 (95.667)
Epoch: [1][860/1134], lr: 0.00500	Time 0.761 (1.400)	Data 0.000 (0.626)	Loss 0.6146 (0.8929)	Prec@1 78.125 (73.381)	Prec@5 96.875 (95.714)
Epoch: [1][880/1134], lr: 0.00500	Time 0.763 (1.400)	Data 0.000 (0.626)	Loss 0.8315 (0.8892)	Prec@1 65.625 (73.457)	Prec@5 100.000 (95.761)
Epoch: [1][900/1134], lr: 0.00500	Time 0.764 (1.400)	Data 0.000 (0.626)	Loss 0.6882 (0.8863)	Prec@1 78.125 (73.554)	Prec@5 100.000 (95.793)
Epoch: [1][920/1134], lr: 0.00500	Time 0.776 (1.400)	Data 0.000 (0.626)	Loss 0.5153 (0.8838)	Prec@1 84.375 (73.667)	Prec@5 100.000 (95.827)
Epoch: [1][940/1134], lr: 0.00500	Time 0.763 (1.401)	Data 0.000 (0.627)	Loss 0.5750 (0.8796)	Prec@1 81.250 (73.771)	Prec@5 100.000 (95.849)
Epoch: [1][960/1134], lr: 0.00500	Time 0.833 (1.401)	Data 0.000 (0.627)	Loss 1.0962 (0.8768)	Prec@1 81.250 (73.885)	Prec@5 93.750 (95.867)
Epoch: [1][980/1134], lr: 0.00500	Time 0.761 (1.400)	Data 0.000 (0.626)	Loss 0.7331 (0.8732)	Prec@1 84.375 (73.987)	Prec@5 96.875 (95.887)
Epoch: [1][1000/1134], lr: 0.00500	Time 0.829 (1.400)	Data 0.000 (0.626)	Loss 0.6074 (0.8713)	Prec@1 87.500 (74.076)	Prec@5 96.875 (95.892)
Epoch: [1][1020/1134], lr: 0.00500	Time 0.761 (1.401)	Data 0.000 (0.627)	Loss 0.6093 (0.8675)	Prec@1 81.250 (74.171)	Prec@5 96.875 (95.926)
Epoch: [1][1040/1134], lr: 0.00500	Time 0.761 (1.401)	Data 0.000 (0.627)	Loss 0.7169 (0.8650)	Prec@1 81.250 (74.216)	Prec@5 96.875 (95.947)
Epoch: [1][1060/1134], lr: 0.00500	Time 0.762 (1.400)	Data 0.000 (0.626)	Loss 0.8716 (0.8635)	Prec@1 71.875 (74.299)	Prec@5 96.875 (95.944)
Epoch: [1][1080/1134], lr: 0.00500	Time 0.763 (1.400)	Data 0.000 (0.626)	Loss 0.6524 (0.8611)	Prec@1 81.250 (74.370)	Prec@5 96.875 (95.941)
Epoch: [1][1100/1134], lr: 0.00500	Time 0.831 (1.400)	Data 0.000 (0.626)	Loss 0.6613 (0.8588)	Prec@1 84.375 (74.455)	Prec@5 96.875 (95.958)
Epoch: [1][1120/1134], lr: 0.00500	Time 0.762 (1.400)	Data 0.000 (0.626)	Loss 0.8108 (0.8573)	Prec@1 75.000 (74.495)	Prec@5 96.875 (95.969)
Epoch: [2][0/1134], lr: 0.00500	Time 6.335 (6.335)	Data 5.506 (5.506)	Loss 0.7572 (0.7572)	Prec@1 71.875 (71.875)	Prec@5 96.875 (96.875)
Epoch: [2][20/1134], lr: 0.00500	Time 3.127 (1.589)	Data 2.364 (0.817)	Loss 0.6742 (0.6576)	Prec@1 87.500 (78.571)	Prec@5 96.875 (97.470)
Epoch: [2][40/1134], lr: 0.00500	Time 2.999 (1.473)	Data 2.236 (0.704)	Loss 0.8243 (0.6344)	Prec@1 62.500 (79.497)	Prec@5 100.000 (97.561)
Epoch: [2][60/1134], lr: 0.00500	Time 2.922 (1.436)	Data 2.159 (0.666)	Loss 0.4213 (0.6207)	Prec@1 93.750 (80.891)	Prec@5 96.875 (97.643)
Epoch: [2][80/1134], lr: 0.00500	Time 2.861 (1.404)	Data 2.097 (0.633)	Loss 0.8246 (0.6304)	Prec@1 78.125 (80.594)	Prec@5 100.000 (97.647)
Epoch: [2][100/1134], lr: 0.00500	Time 2.960 (1.389)	Data 2.196 (0.617)	Loss 0.2768 (0.6299)	Prec@1 93.750 (80.724)	Prec@5 100.000 (97.679)
Epoch: [2][120/1134], lr: 0.00500	Time 2.976 (1.373)	Data 2.211 (0.602)	Loss 0.4490 (0.6326)	Prec@1 90.625 (80.785)	Prec@5 96.875 (97.676)
Epoch: [2][140/1134], lr: 0.00500	Time 2.934 (1.369)	Data 2.101 (0.597)	Loss 0.5833 (0.6292)	Prec@1 71.875 (80.984)	Prec@5 100.000 (97.806)
Epoch: [2][160/1134], lr: 0.00500	Time 3.053 (1.360)	Data 2.291 (0.589)	Loss 0.4222 (0.6173)	Prec@1 87.500 (81.444)	Prec@5 100.000 (97.904)
Epoch: [2][180/1134], lr: 0.00500	Time 2.232 (1.353)	Data 1.468 (0.582)	Loss 0.6611 (0.6174)	Prec@1 81.250 (81.630)	Prec@5 93.750 (97.928)
Epoch: [2][200/1134], lr: 0.00500	Time 2.775 (1.351)	Data 2.010 (0.580)	Loss 0.4379 (0.6073)	Prec@1 84.375 (81.856)	Prec@5 100.000 (98.025)
